YEAR,Albania,Andorra,Armenia,Australia,Austria,Azerbaijan,Belarus,Belgium,Bosnia and Herzegovina,Bulgaria,Croatia,Cyprus,Czech Republic,Denmark,Estonia,Finland,France,Georgia,Germany,Greece,Hungary,Iceland,Ireland,Israel,Italy,Latvia,Lithuania,Luxembourg,Malta,Moldova,Monaco,Montenegro,Morocco,Netherlands,North Macedonia,Norway,Poland,Portugal,Romania,Russia,San Marino,Serbia,Serbia and Montenegro,Slovakia,Slovenia,Spain,Sweden,Switzerland,Turkey,Ukraine,United Kingdom,Yugoslavia
1956,/,/,/,/,/,/,/,Sentimental Ballad,/,/,/,/,/,/,/,/,Upbeat Pop,/,Upbeat Pop,/,/,/,/,/,Upbeat Pop,/,/,Sentimental Ballad,/,/,/,/,/,Sentimental Ballad,/,/,/,/,/,/,/,/,/,/,/,/,/,Sentimental Ballad,/,/,/,/
1957,/,/,/,/,Pop,/,/,Pop,/,/,/,/,/,Pop,/,/,Pop,/,Sentimental Ballad,/,/,/,/,/,Popera,/,/,Sentimental Ballad,/,/,/,/,/,Sentimental Ballad,/,/,/,/,/,/,/,/,/,/,/,/,/,Sentimental Ballad,/,/,Popera,/
1958,/,/,/,/,Pop,/,/,Pop,/,/,/,/,/,Pop,/,/,Pop,/,Upbeat Pop,/,/,/,/,/,Upbeat Pop,/,/,Sentimental Ballad,/,/,/,/,/,Sentimental Ballad,/,/,/,/,/,/,/,/,/,/,/,/,Sentimental Ballad,Sentimental Ballad,/,/,/,/
1959,/,/,/,/,Upbeat Pop,/,/,Popera,/,/,/,/,/,Upbeat Pop,/,/,Upbeat Pop,/,Dance Pop,/,/,/,/,/,Upbeat Pop,/,/,/,/,/,Sentimental Ballad,/,/,Upbeat Pop,/,/,/,/,/,/,/,/,/,/,/,/,Sentimental Ballad,Upbeat Pop,/,/,Upbeat Pop,/
1960,/,/,/,/,Sentimental Ballad,/,/,Popera,/,/,/,/,/,Pop,/,/,Sentimental Ballad,/,Pop,/,/,/,/,/,Sentimental Ballad,/,/,Sentimental Ballad,/,/,Sentimental Ballad,/,/,Upbeat Pop,/,Upbeat Pop,/,/,/,/,/,/,/,/,/,/,Upbeat Pop,Sentimental Ballad,/,/,Upbeat Pop,/
1961,/,/,/,/,Sentimental Ballad,/,/,Pop,/,/,/,/,/,Sentimental Ballad,/,Sentimental Ballad,Upbeat Pop,/,Upbeat Pop,/,/,/,/,/,Power Ballad,/,/,Sentimental Ballad,/,/,Sentimental Ballad,/,/,Upbeat Pop,/,Sentimental Ballad,/,/,/,/,/,/,/,/,/,Upbeat Pop,Upbeat Pop,Upbeat Pop,/,/,Upbeat Pop,Sentimental Ballad
1962,/,/,/,/,Power Ballad,/,/,Upbeat Pop,/,/,/,/,/,Pop,/,Pop,Pop,/,Upbeat Pop,/,/,/,/,/,Power Ballad,/,/,Sentimental Ballad,/,/,Sentimental Ballad,/,/,Upbeat Pop,/,Sentimental Ballad,/,/,/,/,/,/,/,/,/,Sentimental Ballad,Upbeat Pop,Upbeat Pop,/,/,Upbeat Pop,Sentimental Ballad
1963,/,/,/,/,Sentimental Ballad,/,/,Pop,/,/,/,/,/,Upbeat Pop,/,Sentimental Ballad,Pop,/,Upbeat Pop,/,/,/,/,/,Upbeat Pop,/,/,Power Ballad,/,/,Sentimental Ballad,/,/,Sentimental Ballad,/,Sentimental Ballad,/,/,/,/,/,/,/,/,/,Sentimental Ballad,Sentimental Ballad,Sentimental Ballad,/,/,Sentimental Ballad,Sentimental Ballad
1964,/,/,/,/,Sentimental Ballad,/,/,Pop,/,/,/,/,/,Pop,/,Pop,Pop,/,Upbeat Pop,/,/,/,/,/,Sentimental Ballad,/,/,Sentimental Ballad,/,/,Sentimental Ballad,/,/,Upbeat Pop,/,Upbeat Pop,/,Sentimental Ballad,/,/,/,/,/,/,/,Sentimental Ballad,/,Sentimental Ballad,/,/,Sentimental Ballad,Power Ballad
1965,/,/,/,/,Sentimental Ballad,/,/,Sentimental Ballad,/,/,/,/,/,Sentimental Ballad,/,Sentimental Ballad,Upbeat Pop,/,Sentimental Ballad,/,/,/,Sentimental Ballad,/,Power Ballad,/,/,Upbeat Pop,/,/,Sentimental Ballad,/,/,Power Ballad,/,Upbeat Pop,/,Sentimental Ballad,/,/,/,/,/,/,/,Upbeat Pop,Popera,Power Ballad,/,/,Power Ballad,Sentimental Ballad
1966,/,/,/,/,Sentimental Ballad,/,/,Upbeat Pop,/,/,/,/,/,Upbeat Pop,/,Upbeat Pop,Pop,/,Sentimental Ballad,/,/,/,Sentimental Ballad,/,Power Ballad,/,/,Upbeat Pop,/,/,Sentimental Ballad,/,/,Upbeat Pop,/,Power Ballad,/,Upbeat Pop,/,/,/,/,/,/,/,Power Ballad,Upbeat Pop,Sentimental Ballad,/,/,Sentimental Ballad,Power Ballad
1967,/,/,/,/,Sentimental Ballad,/,/,Upbeat Pop,/,/,/,/,/,/,/,Upbeat Pop,Power Ballad,/,Power Ballad,/,/,/,Sentimental Ballad,/,Popera,/,/,Sentimental Ballad,/,/,Upbeat Pop,/,/,Upbeat Pop,/,Upbeat Pop,/,Upbeat Pop,/,/,/,/,/,/,/,Power Ballad,Power Ballad,Upbeat Pop,/,/,Dance Pop,Sentimental Ballad
1968,/,/,/,/,Power Ballad,/,/,Sentimental Ballad,/,/,/,/,/,/,/,Upbeat Pop,Pop,/,Power Ballad,/,/,/,Sentimental Ballad,/,Upbeat Pop,/,/,Sentimental Ballad,/,/,Sentimental Ballad,/,/,Upbeat Pop,/,Upbeat Pop,/,Upbeat Pop,/,/,/,/,/,/,/,Upbeat Pop,Dance Pop,Sentimental Ballad,/,/,Dance Pop,Upbeat Pop
1969,/,/,/,/,/,/,/,Upbeat Pop,/,/,/,/,/,/,/,Dance Pop,Popera,/,Dance Pop,/,/,/,Dance Pop,/,Upbeat Pop,/,/,Sentimental Ballad,/,/,Power Ballad,/,/,Sentimental Ballad,/,Upbeat Pop,/,Sentimental Ballad,/,/,/,/,/,/,/,Upbeat Pop,Sentimental Ballad,Upbeat Pop,/,/,Power Ballad,Power Ballad
1970,/,/,/,/,/,/,/,Power Ballad,/,/,/,/,/,/,/,/,Sentimental Ballad,/,Pop,/,/,/,Sentimental Ballad,/,Upbeat Pop,/,/,Sentimental Ballad,/,/,Sentimental Ballad,/,/,Sentimental Ballad,/,/,/,/,/,/,/,/,/,/,/,Sentimental Ballad,/,Upbeat Pop,/,/,Sentimental Ballad,Pop / Rock
1971,/,/,/,/,Upbeat Pop,/,/,Dance Pop,/,/,/,/,/,/,/,Upbeat Pop,Pop,/,Upbeat Pop,/,/,/,Sentimental Ballad,/,Power Ballad,/,/,Upbeat Pop,Sentimental Ballad,/,Power Ballad,/,/,Sentimental Ballad,/,Upbeat Pop,/,Sentimental Ballad,/,/,/,/,/,/,/,Upbeat Pop,Upbeat Pop,Sentimental Ballad,/,/,Upbeat Pop,Power Ballad
1972,/,/,/,/,Upbeat Pop,/,/,Pop,/,/,/,/,/,/,/,Sentimental Ballad,Power Ballad,/,Upbeat Pop,/,/,/,Upbeat Pop,/,Sentimental Ballad,/,/,Power Ballad,Sentimental Ballad,/,Sentimental Ballad,/,/,Upbeat Pop,/,Sentimental Ballad,/,Power Ballad,/,/,/,/,/,/,/,Power Ballad,Upbeat Pop,Sentimental Ballad,/,/,Upbeat Pop,Sentimental Ballad
1973,/,/,/,/,/,/,/,Dance Pop,/,/,/,/,/,/,/,Dance Pop,Upbeat Pop,/,Upbeat Pop,/,/,/,Upbeat Pop,Upbeat Pop,Power Ballad,/,/,Power Ballad,/,/,Power Ballad,/,/,Upbeat Pop,/,Upbeat Pop,/,Upbeat Pop,/,/,/,/,/,/,/,Sentimental Ballad,Pop / Rock,Sentimental Ballad,/,/,Upbeat Pop,Pop / Rock
1974,/,/,/,/,/,/,/,Upbeat Pop,/,/,/,/,/,/,/,Sentimental Ballad,Upbeat Pop,/,Sentimental Ballad,Upbeat Pop,/,/,Upbeat Pop,Upbeat Pop,Upbeat Pop,/,/,Upbeat Pop,/,/,Sentimental Ballad,/,/,Pop / Rock,/,Sentimental Ballad,/,Sentimental Ballad,/,/,/,/,/,/,/,Dance Pop,Dance Pop,Upbeat Pop,/,/,Power Ballad,Power Ballad
1975,/,/,/,/,/,/,/,Pop,/,/,/,/,/,/,/,Dance Pop,Pop,/,Power Ballad,/,/,/,Upbeat Pop,Upbeat Pop,Upbeat Pop,/,/,Sentimental Ballad,Upbeat Pop,/,Sentimental Ballad,/,/,Upbeat Pop,/,Sentimental Ballad,/,Sentimental Ballad,/,/,/,/,/,/,/,Sentimental Ballad,Sentimental Ballad,Upbeat Pop,Sentimental Ballad,/,Pop / Rock,Sentimental Ballad
1976,/,/,/,/,Country,/,/,Sentimental Ballad,/,/,/,/,/,/,/,Dance Pop,Upbeat Pop,/,Upbeat Pop,Popera,/,/,Power Ballad,Upbeat Pop,Upbeat Pop,/,/,Power Ballad,/,/,Upbeat Pop,/,/,Upbeat Pop,/,Upbeat Pop,/,Sentimental Ballad,/,/,/,/,/,/,/,Sentimental Ballad,/,Pop / Rock,/,/,Upbeat Pop,Rock
1977,/,/,/,/,Dance Pop,/,/,Upbeat Pop,/,/,/,/,/,/,/,Pop,Upbeat Pop,/,Upbeat Pop,Dance Pop,/,/,Dance Pop,Power Ballad,Upbeat Pop,/,/,Sentimental Ballad,/,/,Sentimental Ballad,/,/,Sentimental Ballad,/,Upbeat Pop,/,Power Ballad,/,/,/,/,/,/,/,Dance Pop,Upbeat Pop,Dance Pop,/,/,Upbeat Pop,/
