YEAR,COUNTRY,GENRE
1956,Switzerland,Sentimental Ballad
1957,Netherlands,Sentimental Ballad
1958,France,Pop
1959,Netherlands,Upbeat Pop
1960,France,Sentimental Ballad
1961,Luxembourg,Sentimental Ballad
1962,France,Pop
1963,Denmark,Upbeat Pop
1964,Italy,Sentimental Ballad
1965,Luxembourg,Upbeat Pop
1966,Austria,Sentimental Ballad
1967,United Kingdom,Dance Pop
1968,Spain,Upbeat Pop
1969,France|Netherlands|Spain,Popera|Sentimental Ballad|Upbeat Pop
1970,Ireland,Sentimental Ballad
1971,Monaco,Power Ballad
1972,Luxembourg,Power Ballad
1973,Luxembourg,Power Ballad
1974,Sweden,Dance Pop
1975,Netherlands,Upbeat Pop
1976,United Kingdom,Upbeat Pop
1977,France,Upbeat Pop
1978,Israel,Dance Pop
1979,Israel,Upbeat Pop
1980,Ireland,Sentimental Ballad
1981,United Kingdom,Rock
1982,Germany,Upbeat Pop
1983,Luxembourg,Power Ballad
1984,Sweden,Upbeat Pop
1985,Norway,Pop / Rock
1986,Belgium,Dance Pop
1987,Ireland,Upbeat Pop
1988,Switzerland,Power Ballad
1989,Yugoslavia,Pop / Rock
1990,Italy,Upbeat Pop
1991,Sweden,Dance Pop
1992,Ireland,Power Ballad
1993,Ireland,Power Ballad
1994,Ireland,Pop / Rock
1995,Norway,Popera
1996,Ireland,Sentimental Ballad
1997,United Kingdom,Upbeat Pop
1998,Israel,Dance Pop
1999,Sweden,Upbeat Pop
2000,Denmark,Pop / Rock
2001,Estonia,Dance Pop
2002,Latvia,Dance Pop
2003,Turkey,Dance Pop
2004,Ukraine,Dance Pop
2005,Greece,Dance Pop
2006,Finland,Rock
2007,Serbia,Power Ballad
2008,Russia,Sentimental Ballad
2009,Norway,Upbeat Pop
2010,Germany,Dance Pop
2011,Azerbaijan,Sentimental Ballad
2012,Sweden,Dance Pop
2013,Denmark,Upbeat Pop
2014,Austria,Power Ballad
2015,Sweden,Dance pop
2016,Ukraine,Ethnic
2017,Portugal,Sentimental Ballad
2018,Israel,Dance Pop
2019,Netherlands,Sentimental Ballad
