year,country,name of performer,song title,"solo, duo or group",song genre,song rating,performance rating,alone on stage,special effects,props on stage,memorability rating,choreography,backup dancers,final placement,televoting,jury,total
2015,Slovenia,Maraaya,Here For You,duo,pop,3,2,no,no,yes,2,yes,yes,14,-1,-1,39
2015,France,Lisa Angell,N'oubliez pas,solo,power ballad,2,2,no,yes,yes,2,no,yes,25,-1,-1,4
2015,Israel,Nadav Guedj,Golden boy,solo,ethnic,5,4,no,yes,no,3,yes,yes,9,-1,-1,97
2015,Estonia,Elina Born & Stig Rasta,Goodbye to yesterday,duo,pop rock,4,2,yes,no,yes,2,no,no,7,-1,-1,106
2015,United Kingdom,Electro Velvet,Still in love with you,duo,outlier,1,3,no,yes,yes,1,yes,yes,24,-1,-1,5
2015,Armenia,Genealogy,Face the shadow,group,pop,3,2,yes,yes,no,1,yes,no,16,-1,-1,34
2015,Lithuania,Monika Linkyte & Vaidas Baumila,This Time,duo,country,2,3,no,no,no,3,yes,yes,18,-1,-1,30
2015,Serbia,Bojana Stamenov,Beauty never lies,solo,power ballad,4,4,no,yes,yes,2,yes,yes,10,-1,-1,53
2015,Norway,Morland & Debrah Scarlett,A monster like me,duo,sentimental ballad,2,1,yes,no,no,1,no,no,8,-1,-1,102
2015,Sweden,Mans Zelmerlow,Heroes,solo,dance pop ,5,5,yes,yes,no,5,yes,no,1,-1,-1,365
2015,Cyprus,John Karayiannis,One Thing I Should Have Done,solo,sentimental ballad,3,2,yes,no,no,1,no,no,22,-1,-1,11
2015,Australia,Guy Sebastian,Tonight Again,solo,dance pop,4,3,no,yes,yes,2,yes,yes,5,-1,-1,196
2015,Belgium,Loic Nottet,Rhythm Inside,solo,pop,5,5,no,yes,no,4,yes,yes,4,-1,-1,217
2015,Austria ,The Makemakes,I am yours,group,sentimental ballad,2,3,yes,yes,yes,5,no,no,26,-1,-1,0
2015,Greece,Maria Elena Kyriakou,One Last Breath,solo,power ballad,2,2,no,yes,yes,1,no,no,19,-1,-1,23
2015,Montenegro,Knez,Adio,solo,ethnic,4,4,no,yes,yes,2,yes,yes,13,-1,-1,44
2015,Germany,Ann Sophie,Black smoke,solo,pop,3,3,no,no,yes,1,no,no,27,-1,-1,0
2015,Poland,Monika Kuszynska,In the name of love,solo,power ballad,3,2,no,no,yes,3,no,no,23,-1,-1,10
